order_id,claim_type,claim_detail,claim_date
5,Other,The restroom was dirty or out of order.,2024-05-01 11:35:00
6,Other,The coffee shop did not offer enough variety on the menu.,2024-05-01 05:19:00
7,Taste (Food),The food was not fresh.,2024-05-01 10:55:00
8,Taste (Food),The salad dressing was overwhelming.,2024-05-01 06:50:00
9,Service,The staff did not address concerns or complaints effectively.,2024-05-01 21:00:00
10,Atmosphere,The decor was outdated or unappealing.,2024-05-01 03:33:00
11,Atmosphere,The temperature was too hot or too cold.,2024-05-01 04:06:00
12,Other,Overall I would not recommend this coffee shop to others.,2024-05-01 04:09:00
13,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-01 02:29:00
14,Taste (Food),The ingredients did not taste fresh.,2024-05-01 16:21:00
15,Taste (Coffee),The espresso was over-extracted and harsh.,2024-05-02 00:49:00
16,Service,There was a lack of attention to detail in the preparation of drinks and food.,2024-05-01 01:12:00
17,Other,The coffee shop did not offer any loyalty or rewards program.,2024-05-01 02:11:00
18,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-01 22:00:00
19,Atmosphere,There were no available power outlets for charging devices.,2024-05-01 08:07:00
20,Atmosphere,The temperature was too hot or too cold.,2024-05-01 22:56:00
21,Taste (Food),The cake was dry and flavorless.,2024-05-01 20:28:00
22,Atmosphere,The coffee shop was dirty or untidy.,2024-05-01 03:42:00
23,Atmosphere,The lighting was too dim or too bright.,2024-05-01 11:16:00
24,Taste (Food),The food was bland and unappetizing.,2024-05-01 05:33:00
25,Atmosphere,The music was too loud or not to my taste.,2024-05-01 05:47:00
26,Atmosphere,There were no available power outlets for charging devices.,2024-05-01 17:26:00
27,Service,The order was incorrect.,2024-05-02 20:17:00
28,Atmosphere,The decor was outdated or unappealing.,2024-05-02 22:31:00
29,Service,There was a long wait time for the order.,2024-05-02 11:09:00
30,Atmosphere,The seating was uncomfortable.,2024-05-02 10:23:00
31,Other,The coffee shop did not offer enough variety on the menu.,2024-05-02 06:00:00
32,Atmosphere,The coffee shop was too noisy and loud.,2024-05-02 17:29:00
33,Taste (Coffee),The coffee was burnt and bitter.,2024-05-02 05:06:00
34,Atmosphere,The temperature was too hot or too cold.,2024-05-02 09:45:00
35,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-02 17:58:00
36,Taste (Coffee),The coffee was weak and watery.,2024-05-02 16:26:00
37,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-02 18:29:00
38,Service,There was a long wait time for the order.,2024-05-02 17:22:00
39,Other,The restroom was dirty or out of order.,2024-05-02 12:25:00
40,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-02 16:41:00
41,Service,There was a long wait time for the order.,2024-05-02 06:50:00
42,Service,The staff did not address concerns or complaints effectively.,2024-05-02 06:09:00
43,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-02 14:43:00
44,Service,The order was incorrect.,2024-05-02 20:24:00
45,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-02 22:40:00
46,Other,Overall I would not recommend this coffee shop to others.,2024-05-03 20:07:00
47,Taste (Food),The food was not fresh.,2024-05-03 02:03:00
48,Taste (Food),The ingredients did not taste fresh.,2024-05-03 21:08:00
49,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-03 09:57:00
50,Taste (Food),The ingredients did not taste fresh.,2024-05-03 20:32:00
51,Taste (Food),The salad dressing was overwhelming.,2024-05-03 15:33:00
52,Other,The restroom was dirty or out of order.,2024-05-03 14:31:00
53,Service,The barista made the drink incorrectly.,2024-05-03 19:06:00
54,Taste (Food),The cake was dry and flavorless.,2024-05-03 19:15:00
55,Taste (Coffee),The coffee was burnt and bitter.,2024-05-03 10:00:00
56,Other,The restroom was dirty or out of order.,2024-05-03 23:43:00
57,Service,The staff were rude and unhelpful.,2024-05-03 04:01:00
58,Taste (Food),The sandwich was soggy.,2024-05-03 19:26:00
59,Atmosphere,The music was too loud or not to my taste.,2024-05-03 18:15:00
60,Other,The coffee shop did not offer enough variety on the menu.,2024-05-03 12:22:00
61,Taste (Food),The cake was dry and flavorless.,2024-05-03 04:37:00
62,Service,The staff did not address concerns or complaints effectively.,2024-05-03 20:47:00
63,Service,The staff did not address concerns or complaints effectively.,2024-05-03 10:09:00
64,Atmosphere,There were no available power outlets for charging devices.,2024-05-05 00:05:00
65,Service,The service was slow and inefficient.,2024-05-04 14:30:00
66,Atmosphere,There were no available power outlets for charging devices.,2024-05-04 20:53:00
67,Other,The coffee shop was not accessible to people with disabilities.,2024-05-05 00:40:00
68,Other,Overall I would not recommend this coffee shop to others.,2024-05-04 06:46:00
69,Taste (Food),The food was bland and unappetizing.,2024-05-04 09:33:00
70,Taste (Food),The sandwich was soggy.,2024-05-04 06:46:00
71,Taste (Food),The ingredients did not taste fresh.,2024-05-04 14:51:00
72,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-04 23:08:00
73,Taste (Coffee),The coffee was burnt and bitter.,2024-05-04 20:53:00
74,Other,The coffee shop did not offer enough variety on the menu.,2024-05-04 23:00:00
75,Service,The order was incorrect.,2024-05-04 02:28:00
76,Other,The coffee shop was not accessible to people with disabilities.,2024-05-04 06:33:00
77,Other,The coffee shop did not have a welcoming or inviting atmosphere.,2024-05-04 20:58:00
78,Other,The prices were too high for the quality offered.,2024-05-04 03:40:00
79,Service,The service was slow and inefficient.,2024-05-04 19:37:00
80,Atmosphere,The temperature was too hot or too cold.,2024-05-04 17:10:00
81,Taste (Coffee),The coffee was weak and watery.,2024-05-04 11:06:00
82,Taste (Coffee),The coffee was burnt and bitter.,2024-05-04 21:19:00
83,Other,The coffee shop was not accessible to people with disabilities.,2024-05-04 10:27:00
84,Other,The coffee shop did not offer enough variety on the menu.,2024-05-05 11:41:00
85,Service,The staff seemed uninterested and disengaged.,2024-05-05 05:00:00
86,Service,The barista was not knowledgeable about the coffee or menu.,2024-05-05 13:29:00
87,Service,The staff did not address concerns or complaints effectively.,2024-05-05 23:57:00
88,Atmosphere,The temperature was too hot or too cold.,2024-05-05 14:10:00
89,Other,Overall I would not recommend this coffee shop to others.,2024-05-05 09:45:00
90,Other,The restroom was dirty or out of order.,2024-05-05 01:45:00
91,Service,There was a lack of attention to detail in the preparation of drinks and food.,2024-05-05 16:59:00
92,Taste (Food),The food was not fresh.,2024-05-05 07:45:00
93,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-05 14:32:00
94,Other,The coffee shop did not offer enough variety on the menu.,2024-05-05 05:30:00
95,Taste (Coffee),The coffee was weak and watery.,2024-05-05 05:03:00
96,Atmosphere,The coffee shop smelled unpleasant (e.g.: burnt coffee or cleaning products).,2024-05-05 02:27:00
97,Service,There was a long wait time for the order.,2024-05-05 20:05:00
98,Other,Overall I would not recommend this coffee shop to others.,2024-05-05 02:37:00
99,Atmosphere,The decor was outdated or unappealing.,2024-05-05 12:11:00
100,Taste (Food),The food was bland and unappetizing.,2024-05-05 11:01:00
101,Other,The coffee shop was not accessible to people with disabilities.,2024-05-05 17:27:00
102,Atmosphere,The coffee shop was too noisy and loud.,2024-05-05 17:50:00
103,Service,The service was slow and inefficient.,2024-05-05 15:54:00
104,Service,The staff were rude and unhelpful.,2024-05-05 13:30:00
